word,score
drown,4
druid,3
drunk,3
dryer,4
dryly,4
duchy,3
dully,4
dummy,4
dumpy,3
dunce,3
dusky,3
dusty,3
dutch,4
duvet,3
dwarf,4
dwell,3
dwelt,3
dying,4
eager,3
eagle,3
early,3
earth,3
easel,2
eaten,3
eater,3
ebony,3
eclat,2
edict,3
edify,3
eerie,4
egret,3
eight,3
eject,3
eking,3
elate,3
elbow,3
elder,4
elect,3
elegy,3
elfin,3
elide,3
elite,3
elope,3
elude,3
email,3
embed,3
ember,4
emcee,4
empty,4
enact,3
endow,3
enema,3
enemy,4
enjoy,3
ennui,4
ensue,4
enter,4
entry,4
envoy,4
epoch,3
epoxy,4
equal,4
equip,4
erase,3
erect,4
erode,3
error,3
erupt,3
essay,4
ester,2
ether,3
ethic,3
ethos,3
etude,3
evade,4
event,3
every,4
evict,4
evoke,4
exact,4
exalt,4
excel,4
exert,3
exile,3
exist,3
expel,4
extol,3
extra,3
exult,3
eying,4
fable,3
facet,3
faint,3
fairy,4
faith,4
false,2
fancy,3
fanny,3
farce,3
fatal,2
fatty,4
fault,2
fauna,3
favor,4
feast,3
fecal,4
feign,4
fella,3
felon,3
femme,4
femur,4
fence,4
feral,3
ferry,5
fetal,3
fetch,4
fetid,4
fetus,3
fever,4
fewer,3
fiber,4
fibre,4
ficus,3
field,3
fiend,3
fiery,5
fifth,3
fifty,4
fight,4
filer,3
filet,2
filly,3
filmy,3
filth,2
final,4
finch,4
finer,3
first,3
fishy,3
fixer,4
fizzy,4
fjord,3
flack,4
flail,4
flair,3
flake,4
flaky,4
flame,4
flank,4
flare,4
flash,3
flask,3
fleck,3
fleet,2
flesh,3
flick,3
flier,4
fling,3
flint,3
flirt,3
float,3
flock,4
flood,4
floor,4
flora,3
floss,3
flour,3
flout,3
flown,4
fluff,4
fluid,3
fluke,4
flume,4
flung,3
flunk,4
flush,3
flute,3
flyer,4
foamy,4
focal,3
focus,3
foggy,4
foist,3
folio,3
folly,4
foray,3
force,4
forge,3
forgo,4
forte,3
forth,3
forty,3
forum,3
found,4
foyer,4
frail,4
frame,4
frank,4
fraud,3
freak,4
freed,4
freer,5
fresh,3
friar,4
