word,score
cacti,4.0
facet,2.0
cadet,3.0
cagey,3.0
cairn,3.0
camel,3.0
cameo,3.0
canal,3.0
candy,3.0
canny,3.0
canoe,3.0
canon,3.0
thing,2.0
carat,3.0
caput,4.0
cargo,3.0
papal,3.0
carol,4.0
carry,3.0
carve,4.0
caste,3.0
tromp,2.0
where,3.0
cater,4.0
catty,3.0
caulk,4.0
rucks,2.0
cause,3.0
cavil,3.0
chase,3.0
cease,4.0
cedar,3.0
cello,3.0
chafe,4.0
chain,4.0
clack,3.0
chalk,4.0
champ,4.0
chant,3.0
chaos,3.0
chard,4.0
charm,4.0
chart,3.0
chasm,3.0
cheap,4.0
cheat,4.0
check,4.0
cheek,4.0
creek,4.0
cheer,5.0
rhone,2.0
chess,3.0
quich,2.0
chest,3.0
cynic,3.0
chick,4.0
chide,4.0
child,3.0
chill,2.0
chili,5.0
queue,3.0
chime,4.0
china,4.0
chirp,3.0
chock,3.0
bidon,3.0
choir,4.0
choke,4.0
chord,3.0
chore,3.0
whose,3.0
chose,4.0
chunk,3.0
chuck,4.0
chump,4.0
churn,2.0
chute,3.0
drier,3.0
cider,4.0
cigar,4.0
cinch,4.0
circa,4.0
civic,4.0
civil,4.0
claim,3.0
clamp,4.0
clank,3.0
clang,4.0
pucks,2.0
clash,3.0
clasp,3.0
class,3.0
clean,4.0
clear,3.0
cleat,4.0
crews,2.0
cleft,3.0
clump,3.0
clerk,4.0
click,4.0
cliff,4.0
climb,4.0
cling,4.0
clink,4.0
cloak,3.0
clown,3.0
clock,4.0
clone,3.0
close,3.0
cloth,3.0
cloud,3.0
clout,3.0
clove,4.0
moans,3.0
cluck,4.0
piend,3.0
clued,4.0
clung,4.0
coach,4.0
coast,3.0
cobra,4.0
cocoa,4.0
colon,3.0
color,4.0
comet,3.0
conch,3.0
comfy,4.0
comic,4.0
comma,4.0
condo,3.0
conic,4.0
poise,3.0
copse,4.0
coral,3.0
corer,4.0
cough,3.0
couch,4.0
could,3.0
mount,3.0
count,4.0
voice,3.0
coupe,4.0
robot,3.0
court,4.0
coven,4.0
cover,4.0
covet,4.0
gooey,3.0
covey,4.0
cower,4.0
coyly,3.0
crack,4.0
craft,3.0
cramp,2.0
cezve,3.0
crane,4.0
flock,3.0
crank,4.0
crash,3.0
crass,3.0
crate,3.0
crave,4.0
crawl,3.0
craze,4.0
crazy,4.0
creak,4.0
credo,3.0
creed,4.0
creep,4.0
crepe,4.0
crept,3.0
proud,3.0
cress,4.0
crest,3.0
crimp,3.0
crick,4.0
cried,4.0
crier,4.0
crime,4.0
crisp,3.0
crock,4.0
prone,3.0
crone,4.0
crony,4.0
crook,4.0
cross,3.0
curio,3.0
croup,4.0
crowd,3.0
crown,4.0
crude,4.0
gruel,3.0
cruel,4.0
crumb,3.0
crump,4.0
crush,3.0
crust,3.0
crypt,3.0
cubic,3.0
curly,3.0
curry,3.0
purse,3.0
curse,4.0
vegie,3.0
curve,4.0
curvy,3.0
untie,3.0
cutie,4.0
cyber,4.0
cycle,4.0
daddy,4.0
daily,3.0
aahed,3.0
dairy,4.0
daisy,3.0
dally,3.0
dance,3.0
handy,3.0
dandy,4.0
faith,3.0
datum,4.0
lived,3.0
daunt,4.0
dealt,3.0
death,3.0
debar,3.0
debit,4.0
debug,3.0
debut,3.0
pedal,3.0
decal,4.0
media,3.0
decay,4.0
decor,3.0
decoy,3.0
derby,3.0
decry,4.0
defer,4.0
deign,3.0
deity,3.0
relay,2.0
delay,3.0
delta,2.0
jelly,3.0
delve,4.0
demon,3.0
demur,4.0
denim,4.0
dense,3.0
depot,4.0
depth,3.0
tutor,2.0
meter,3.0
deter,4.0
detox,3.0
deuce,3.0
devil,3.0
dwarf,3.0
diary,4.0
dicey,3.0
digit,3.0
dilly,4.0
dimly,3.0
under,3.0
diner,4.0
widow,3.0
dingo,4.0
dingy,4.0
diode,3.0
dirge,3.0
dirty,3.0
disco,3.0
ditch,4.0
ditto,3.0
ditty,4.0
diver,4.0
dizzy,4.0
dodge,3.0
howdy,3.0
dodgy,4.0
dolly,4.0
wordy,3.0
donor,4.0
donut,4.0
modem,3.0
dopey,4.0
doubt,3.0
dough,3.0
dowdy,4.0
model,3.0
dowel,4.0
downy,4.0
dowry,3.0
dozen,3.0
draft,3.0
drain,3.0
drape,3.0
drake,4.0
drama,3.0
drank,3.0
drawn,4.0
dread,3.0
dream,3.0
dress,4.0
pried,4.0
dried,5.0
drift,3.0
drill,3.0
drink,3.0
drive,3.0
droit,3.0
drool,3.0
droll,4.0
droop,3.0
dross,4.0
drove,3.0
drown,4.0
druid,3.0
drunk,3.0
dryer,4.0
dryly,4.0
duchy,3.0
dummy,4.0
dunce,3.0
dusky,3.0
gurdy,2.0
dusty,3.0
dutch,4.0
quiet,3.0
duvet,4.0
dwell,3.0
dwelt,3.0
eager,3.0
eagle,3.0
early,3.0
earth,3.0
easel,2.0
eaten,3.0
eater,4.0
ebony,3.0
eclat,2.0
medic,3.0
edify,4.0
eerie,4.0
egret,3.0
eight,3.0
eject,3.0
eking,4.0
flips,2.0
elate,3.0
elfin,3.0
elder,4.0
elect,3.0
elide,3.0
title,2.0
elite,3.0
elope,4.0
elude,3.0
email,3.0
embed,3.0
ember,4.0
emcee,4.0
empty,4.0
enact,3.0
endow,3.0
enemy,4.0
venom,3.0
enjoy,4.0
ennui,4.0
ensue,4.0
enter,4.0
retro,3.0
entry,4.0
envoy,4.0
epoch,3.0
epoxy,4.0
equal,4.0
equip,4.0
erase,3.0
erect,3.0
erode,3.0
error,3.0
erupt,3.0
essay,3.0
ester,2.0
ether,3.0
ethic,3.0
troth,2.0
ethos,3.0
etude,3.0
event,3.0
every,4.0
evict,3.0
evoke,4.0
exact,3.0
exalt,3.0
excel,4.0
exert,4.0
while,3.0
exile,4.0
exist,3.0
expel,4.0
extol,3.0
extra,3.0
exult,3.0
fable,3.0
faint,3.0
fairy,4.0
false,2.0
fancy,3.0
nanny,3.0
fanny,4.0
farce,3.0
natal,2.0
fatal,3.0
fanks,3.0
fatty,4.0
fault,2.0
fauna,3.0
rover,3.0
favor,3.0
feast,3.0
fecal,4.0
feign,4.0
fella,3.0
felon,3.0
femme,4.0
femur,4.0
fence,4.0
feral,3.0
ferry,4.0
fetal,3.0
fetch,4.0
fetid,4.0
fetus,3.0
fever,4.0
fewer,3.0
fiber,4.0
fibre,4.0
ficus,3.0
fykes,3.0
field,4.0
fiend,3.0
fiery,4.0
width,3.0
fifth,4.0
witty,4.0
fifty,5.0
wharf,3.0
fight,4.0
miaou,2.0
filer,3.0
filet,2.0
filly,3.0
filmy,3.0
tulip,2.0
filth,3.0
final,4.0
whump,3.0
miner,3.0
finer,4.0
first,3.0
fishy,3.0
giver,4.0
fixer,5.0
jiffy,4.0
fizzy,5.0
fjord,3.0
flail,4.0
flair,3.0
flake,4.0
flaky,4.0
flame,4.0
flank,4.0
flash,3.0
flask,3.0
fleck,4.0
fleet,2.0
flesh,3.0
flick,3.0
flier,4.0
flint,3.0
flirt,3.0
float,3.0
flood,4.0
floor,4.0
flora,3.0
floss,3.0
flour,3.0
flout,3.0
flown,4.0
fluff,4.0
fluid,3.0
fluke,4.0
flume,4.0
flunk,4.0
flush,3.0
flute,3.0
flyer,4.0
focal,4.0
focus,3.0
foggy,4.0
humfs,3.0
foist,4.0
folio,3.0
folly,4.0
foray,3.0
forge,3.0
force,4.0
moron,3.0
forgo,4.0
route,3.0
forte,4.0
forth,3.0
forty,3.0
forum,3.0
found,5.0
foyer,4.0
frail,4.0
frame,4.0
frank,4.0
fraud,3.0
wreak,4.0
freak,5.0
freed,4.0
freer,5.0
fresh,3.0
friar,4.0
fried,4.0
gulfy,3.0
frill,4.0
fritz,3.0
frock,3.0
front,3.0
frost,3.0
frown,5.0
froze,4.0
fruit,3.0
fudge,4.0
fugue,4.0
fully,3.0
funny,4.0
furor,3.0
hurry,3.0
fussy,4.0
fuzzy,4.0
gaffe,4.0
gaily,3.0
gamer,3.0
gamma,3.0
gamut,3.0
gassy,3.0
gaudy,4.0
gauge,3.0
gaunt,3.0
gauze,4.0
gavel,4.0
gawky,4.0
gayer,3.0
gayly,3.0
gazer,3.0
gecko,3.0
geeky,4.0
geese,3.0
genie,4.0
nerve,3.0
genre,4.0
ghost,3.0
ghoul,3.0
giant,4.0
giddy,4.0
gipsy,4.0
girly,4.0
girth,4.0
mixup,3.0
given,4.0
